key,de,en
title,RBTC Schools Map,RBTC Schools Map
nav-home,Home,Home
nav-map,Karte,Map
nav-about,Zweck,About
welcome,Willkommen bei RBTC,Welcome to RBTC
intro,"Kenneth E. Hagin ist der Autor von 110 Büchern, die in viele Sprachen übersetzt wurden. Mit seinem Radioprogramm, RHEMA USA erreicht Rhema mehr als 100 Länder.","Kenneth E. Hagin is the author of 110 books, which have been translated into many languages. With its radio program, RHEMA USA reaches out to more than 100 nations."
foundation,"Gründung: Als Bruder Hagin im Dienst unterwegs war, rief er oft nachts zu Gott: ""Wie kann ich diese Botschaft zu deinem Volk bringen?"" Ihm wurde klar, dass er Menschen ausbilden müsste.","Foundation: As Brother Hagin traveled in ministry, many times he would cry out to God in the night, ""How can I get this message out to Your people?"" It began to dawn on him that he would have to train men."
graduates,"Seit 1975 haben über 40.000 Studenten das RBTC USA absolviert, das heute von seinem Sohn, Rev.Kenneth W. Hagin, Pastor der RHEMA Bible Church und Präsident des RBTC USA, und seiner Frau, Lynette Hagin, Direktorin des RBTC USA, geleitet wird.","Since 1975 over 40,000 students have graduated from RBTC USA, which today is run by his son, Rev. Kenneth W. Hagin, Pastor of RHEMA Bible Church and President of RBTC USA and his wife, Lynette Hagin, Director of RBTC USA."
presence,RBTC ist auf mehreren Kontinenten aktiv und zeigt seine Präsenz in verschiedenen Ländern:,RBTC is active on multiple continents, showcasing its presence in various countries:
americas,Amerika: 13 Länder,Americas: 13 countries
eame,EAME (Europa, Afrika, Naher Osten): 22 Länder,EAME (Europe, Africa, Middle East): 22 countries
asia,Asien/Ozeanien: 13 Länder,Asia/Oceania: 13 countries
more-info,"Für weitere Informationen besuchen Sie die <a href=""https://www.rbtc.org/"" target=""_blank"">offizielle RBTC-Webseite</a>.","For more information, visit the <a href=""https://www.rbtc.org/"" target=""_blank"">official RBTC website</a>."
filter-continent,Kontinent:,Continent:
filter-country,Land:,Country:
filter-all,Alle,All
filter-preparing,In RBTC Vorbereitung anzeigen:,Show RBTC in preparation:
info-continent,Kontinent,Continent
info-urls,URLs:,URLs:
no-url,Keine spezifische URL verfügbar,No specific URL available
legend-active,RBTC aktiv,RBTC active
legend-preparing,In Vorbereitung RBTC,RBTC in preparation
about-title,Zweck,About
about-text,"Der Zweck dieser Website ist es zu zeigen, wo RBTC aktiv ist und direkte Links zu den jeweiligen Online-Präsenzen der Länder bereitzustellen.","The purpose of this website is to showcase where RBTC is active and provide direct links to the respective countries' online presence."
footer,© 2025 RBTC Schools Map. Alle Rechte vorbehalten.,© 2025 RBTC Schools Map. All rights reserved.
