continent,name,url,color
EAME,Albania,rhema.eu,red
EAME,Angola,rhema.org.br,red
Americas,Argentina,rhema.org.br,red
Asia/Oceania,Australia,rbtca.org.au,red
EAME,Austria,rhema-austria.org,red
EAME,Botswana,rhemabotswana.org,red
Americas,Brazil,rhema.org.br,red
Americas,Canada,rhemaquebec.org,red
Americas,Chile,rhema.org.br,red
Asia/Oceania,China,amoswong.org,red
Americas,Colombia,www.rhemacolombia.com,red
Americas,Costa Rica,rhemacostarica.org,red
Americas,Cuba,www.rhemacolombia.com,red
EAME,Dem. Rep. Congo,www.rhemakinshasa.com,red
EAME,Egypt,,red
Asia/Oceania,Fiji,uttermostministries.org,red
EAME,France,rhemafrance.com,red
EAME,Germany,"rhemagermany.de,rbtc.de",red
EAME,Ghana,rhemaghana.org,red
EAME,Greece,rhema.eu,red
Americas,Guatemala,rbtcguatemala.org,red
Americas,Haiti,facebook.com/rhemacentredeformationbibliquehaiti,red
Asia/Oceania,India,"rhema-chandigarh.org,rhemacoimbatore.org,rhemamumbai.com,rhemaindia.org.in",red
Asia/Oceania,Indonesia,facebook.com/RhemaBibleTrainingCenterIndonesia,red
EAME,Italy,rhemaitalia.it,red
EAME,Latvia,rhema.lv,red
EAME,Kenya,rhemakenya.org,red
Asia/Oceania,Malaysia,rhemamalaysia.com,red
Americas,Mexico,rhemamexico.org,red
Asia/Oceania,Myanmar,rhemathailand.org,red
EAME,Netherlands,rhema.nl,red
EAME,Nigeria,rhemanigeria.com,red
EAME,Norway,rhema.no,red
Asia/Oceania,Papua New Guinea,rbtca.org.au,red
Americas,Peru,,red
Asia/Oceania,Philippines,mkmi.org,red
EAME,Poland,www.rhema.org.pl,red
EAME,Portugal,rhema.org.br,red
EAME,Congo,,red
Asia/Oceania,Samoa,www.uttermostministries.org,red
Asia/Oceania,Singapore,rhema.org.sg,red
EAME,Switzerland,"rhemasuisse.com,rhema-schweiz.ch",red
Asia/Oceania,Thailand,www.rhemathailand.org,red
EAME,Ukraine,facebook.com/rhema-ukraine,red
EAME,United Kingdom,rhemauk.com,red
Americas,United States,rbtc.org,red
Asia/Oceania,Vanuatu,uttermostministries.org,red
EAME,Zambia,rhemazambia.org,red
EAME,Sweden,,yellow
EAME,Finland,,yellow
EAME,Greenland,,yellow
EAME,Ireland,,yellow
EAME,Estonia,,yellow
EAME,Spain,test-url.com,red
